iter	Passed	Remaining
863	2132	335
864	2135	333
865	2137	330
866	2139	328
867	2141	325
868	2144	323
869	2146	320
870	2149	318
871	2151	315
872	2153	313
873	2156	310
874	2158	308
875	2160	305
876	2163	303
877	2165	300
878	2168	298
879	2170	295
880	2172	293
881	2175	291
882	2177	288
883	2180	286
884	2182	283
885	2184	281
886	2187	278
887	2189	276
888	2191	273
889	2193	271
890	2196	268
891	2198	266
892	2200	263
893	2203	261
894	2206	258
895	2208	256
896	2210	253
897	2213	251
898	2215	248
899	2217	246
900	2220	243
901	2223	241
902	2225	239
903	2227	236
904	2230	234
905	2232	231
906	2235	229
907	2237	226
908	2240	224
909	2242	221
910	2244	219
911	2247	216
912	2249	214
913	2252	211
914	2254	209
915	2256	206
916	2259	204
917	2261	202
918	2264	199
919	2266	197
920	2269	194
921	2271	192
922	2274	189
923	2276	187
924	2278	184
925	2281	182
926	2284	179
927	2286	177
928	2289	174
929	2291	172
930	2293	170
931	2296	167
932	2298	165
933	2300	162
934	2303	160
935	2305	157
936	2307	155
937	2310	152
938	2313	150
939	2316	147
940	2319	145
941	2321	142
942	2324	140
943	2326	138
944	2329	135
945	2331	133
946	2333	130
947	2336	128
948	2338	125
949	2341	123
950	2343	120
951	2346	118
952	2348	115
953	2350	113
954	2353	110
955	2355	108
956	2357	105
957	2360	103
958	2362	100
959	2364	98
960	2366	96
961	2367	93
962	2369	91
963	2371	88
964	2373	86
965	2375	83
966	2376	81
967	2378	78
968	2380	76
969	2382	73
970	2384	71
971	2386	68
972	2388	66
973	2389	63
974	2391	61
975	2393	58
976	2395	56
977	2396	53
978	2398	51
979	2400	48
980	2402	46
981	2404	44
982	2406	41
983	2408	39
984	2410	36
985	2411	34
986	2413	31
987	2415	29
988	2417	26
989	2419	24
990	2421	21
991	2422	19
992	2424	17
993	2426	14
994	2428	12
995	2429	9
996	2431	7
997	2433	4
998	2435	2
999	2437	0
